"quad","year","Species","X","Y"
"gzgz_11",1997,"Agropyron smithii",0.335792721275546,0.0417268713784615
"gzgz_11",1997,"Agropyron smithii",0.707497457290746,0.0646620800449584
"gzgz_11",1997,"Artemisia frigida",0.664632717452757,0.295848104050872
"gzgz_11",1997,"Unknown",0.909360283062694,0.309185308794086
"gzgz_11",1997,"Plantago patagonica",0.829951813746272,0.320851517112536
"gzgz_11",1997,"Unknown",0.846347201739278,0.33735966723158
"gzgz_11",1997,"Unknown",0.180429136100363,0.34017073840435
"gzgz_11",1997,"Artemisia frigida",0.683794497117679,0.381605280390146
"gzgz_11",1997,"Agropyron smithii",0.0930830077493673,0.392490166949328
"gzgz_11",1997,"Agropyron smithii",0.133433366631225,0.404832325127153
"gzgz_11",1997,"Unknown",0.855684256377049,0.440020720055662
"gzgz_11",1997,"Artemisia frigida",0.577240921864481,0.466600836307513
"gzgz_11",1997,"Unknown",0.902761064725749,0.469126313726015
"gzgz_11",1997,"Unknown",0.915033302732699,0.475714671411537
"gzgz_11",1997,"Unknown",0.90475715101403,0.487949709129038
"gzgz_11",1997,"Artemisia frigida",0.361544010985154,0.492940843622586
"gzgz_11",1997,"Unknown",0.89310949612304,0.502233254353607
"gzgz_11",1997,"Unknown",0.902623791608853,0.5184676991496
"gzgz_11",1997,"Unknown",0.882753101942918,0.545034436467068
"gzgz_11",1997,"Agropyron smithii",0.577235329140663,0.557926821674587
"gzgz_11",1997,"Unknown",0.894972932078869,0.570350000934922
"gzgz_11",1997,"Artemisia frigida",0.603336010589278,0.574620635096873
"gzgz_11",1997,"Unknown",0.903105112899677,0.590686555151393
"gzgz_11",1997,"Agropyron smithii",0.405875397039307,0.600214825772855
"gzgz_11",1997,"Unknown",0.890110181074383,0.602148524492824
"gzgz_11",1997,"Agropyron smithii",0.525685850038266,0.603268070340518
"gzgz_11",1997,"Unknown",0.900998916246215,0.612138940080803
"gzgz_11",1997,"Unknown",0.881203138824444,0.615796857311696
"gzgz_11",1997,"Unknown",0.0385827684073971,0.651036458810145
"gzgz_11",1997,"Unknown",0.0988619688249538,0.799837807923937
"gzgz_11",1997,"Plantago patagonica",0.632632820243323,0.889012783658799
"gzgz_11",1997,"Unknown",0.310589020182567,0.895823586706274
"gzgz_11",1997,"Unknown",0.211257208619736,0.898479761230692
"gzgz_11",1997,"Unknown",0.177415934901321,0.901205927114196
"gzgz_11",1997,"Artemisia frigida",0.854561920841341,0.910004171531592
"gzgz_11",1997,"Plantago patagonica",0.505913070857872,0.927198242308797
"gzgz_11",1997,"Unknown",0.462680265723309,0.939417120302427
"gzgz_11",1997,"Unknown",0.752906962103123,0.949205285734029
"gzgz_11",1997,"Unknown",0.739240543029424,0.961342243893987
"gzgz_11",1998,"Artemisia frigida",0.341730565539295,0.0148076032112031
"gzgz_11",1998,"Artemisia frigida",0.709692207629281,0.0502064438388682
"gzgz_11",1998,"Artemisia frigida",0.842645259049219,0.0625919600863832
"gzgz_11",1998,"Talinum parviflorum",0.380716411041288,0.142401214580806
"gzgz_11",1998,"Artemisia frigida",0.515781349722294,0.171920238235118
"gzgz_11",1998,"Talinum parviflorum",0.207591749887753,0.280257834545644
"gzgz_11",1998,"Artemisia frigida",0.572754582974294,0.287751301390632
"gzgz_11",1998,"Artemisia frigida",0.4954360616022,0.298929883812332
"gzgz_11",1998,"Talinum parviflorum",0.914727771830121,0.300748124152778
"gzgz_11",1998,"Talinum parviflorum",0.873365316806369,0.311037966254252
"gzgz_11",1998,"Talinum parviflorum",0.166067212655613,0.315994521074364
"gzgz_11",1998,"Talinum parviflorum",0.168604929997124,0.327526121384564
"gzgz_11",1998,"Talinum parviflorum",0.200494076147478,0.329918281081137
"gzgz_11",1998,"Talinum parviflorum",0.837819597102602,0.336497068401559
"gzgz_11",1998,"Artemisia frigida",0.00909753690693807,0.356529186234195
"gzgz_11",1998,"Artemisia frigida",0.147968486543787,0.372522214010035
"gzgz_11",1998,"Artemisia frigida",0.670101507044269,0.381312730057287
"gzgz_11",1998,"Artemisia frigida",0.133995259628977,0.390221632099236
"gzgz_11",1998,"Artemisia frigida",0.331483529798876,0.411647245812091
"gzgz_11",1998,"Talinum parviflorum",0.71207523743781,0.413959376611844
"gzgz_11",1998,"Talinum parviflorum",0.794595730537767,0.429002477800205
"gzgz_11",1998,"Talinum parviflorum",0.851237097698427,0.441146407955567
"gzgz_11",1998,"Talinum parviflorum",0.861555922300256,0.455107715294317
"gzgz_11",1998,"Talinum parviflorum",0.915578906977949,0.478761849253245
"gzgz_11",1998,"Talinum parviflorum",0.906271172984536,0.494082295261938
"gzgz_11",1998,"Artemisia frigida",0.193846939246084,0.5226012046401
"gzgz_11",1998,"Talinum parviflorum",0.909863832872365,0.52752626312616
"gzgz_11",1998,"Talinum parviflorum",0.95100505273375,0.534445147674806
"gzgz_11",1998,"Artemisia frigida",0.562968579884599,0.552071918194802
"gzgz_11",1998,"Talinum parviflorum",0.886734938881112,0.554541570708184
"gzgz_11",1998,"Talinum parviflorum",0.84882383514659,0.561980271572687
"gzgz_11",1998,"Talinum parviflorum",0.955139508297548,0.577421590714194
"gzgz_11",1998,"Talinum parviflorum",0.890369466335467,0.583860746808235
"gzgz_11",1998,"Artemisia frigida",0.526934784908501,0.592051017209122
"gzgz_11",1998,"Talinum parviflorum",0.911104398678559,0.600235988537562
"gzgz_11",1998,"Talinum parviflorum",0.892163075554947,0.600887463000183
"gzgz_11",1998,"Talinum parviflorum",0.881641293363894,0.609310647879285
"gzgz_11",1998,"Artemisia frigida",0.500369724963251,0.610199423793617
"gzgz_11",1998,"Artemisia frigida",0.572174292273292,0.614144727831839
"gzgz_11",1998,"Talinum parviflorum",0.958680498892068,0.61422938841163
"gzgz_11",1998,"Talinum parviflorum",0.96822539196077,0.639703876111014
"gzgz_11",1998,"Talinum parviflorum",0.0358411858269737,0.640907054758705
"gzgz_11",1998,"Talinum parviflorum",0.703604178486889,0.678952343821476
"gzgz_11",1998,"Talinum parviflorum",0.966386800690539,0.689822400986478
"gzgz_11",1998,"Artemisia frigida",0.575583406707153,0.696192566805648
"gzgz_11",1998,"Talinum parviflorum",0.0927665005145241,0.807106148570297
"gzgz_11",1998,"Talinum parviflorum",0.183833512068937,0.890721672077827
"gzgz_11",1998,"Talinum parviflorum",0.204097854743995,0.90289458028428
"gzgz_11",1998,"Talinum parviflorum",0.301260984201263,0.907759493630672
"gzgz_11",1998,"Talinum parviflorum",0.624456048906924,0.916372412888827
"gzgz_11",1998,"Talinum parviflorum",0.176833005787253,0.917657969644298
"gzgz_11",1998,"Talinum parviflorum",0.786503486303264,0.923361880548562
"gzgz_11",1998,"Talinum parviflorum",0.423635948004603,0.92372576798701
"gzgz_11",1998,"Talinum parviflorum",0.591385552194041,0.937040579588638
"gzgz_11",1998,"Vulpia octoflora",0.957893401989191,0.938166478984154
"gzgz_11",1998,"Talinum parviflorum",0.748058889217868,0.955258012042109
"gzgz_11",1998,"Talinum parviflorum",0.738895071091278,0.969610262788706
"gzgz_11",1998,"Talinum parviflorum",0.465630941426881,0.970260148864371
"gzgz_11",1998,"Plantago patagonica",0.6955170197602,0.985116701346117
